competition_code,country,our_league,opta_league,opta_rank,opta_score,mapping_status,confidence,notes
ARG3,Argentina,Torneo Federal A,Torneo Federal A,89.0,69.41,MATCH,100.0,exact
BRAL,Brazil,Campeonato Alagoano,Alagoano 1,289.0,54.40,MATCH,88.88888888888889,country_fuzzy
BRES,Brazil,Campeonato Capixaba,Capixaba A,342.0,49.99,MATCH,88.88888888888889,country_fuzzy
BRPB,Brazil,Campeonato Paraibano,Paraibano 1,311.0,52.38,MATCH,90.0,country_fuzzy
CDN1,Canada,Canadian Premier League,Canadian Premier League,156.0,64.81,MATCH,100.0,exact
TFPL,Chinese Taipei,Taiwan Football Premier League,Taiwan Football Premier League,337.0,50.61,MATCH,100.0,exact
CYP2,Cyprus,2. Division,2. Division,179.0,62.76,MATCH,100.0,exact
DK3O,Denmark,2.Division,2. Division,250.0,58.01,MATCH,100.0,exact
DK4L,Denmark,3.Division,3. Division,348.0,49.22,MATCH,100.0,exact
EC2L,Ecuador,Liga Pro Serie B,Liga Pro Serie B,67.0,71.22,MATCH,100.0,exact
EGY1,Egypt,Egyptian Premier League,Egyptian Premier League,46.0,74.24,MATCH,100.0,exact
EST2,Estonia,Esiliiga,Esiliiga A,380.0,46.17,MATCH,88.88888888888889,country_fuzzy
FIYK,Finland,Ykkönen,Ykkönen,310.0,52.42,MATCH,100.0,exact
FI2,Finland,Ykkösliiga,Ykkösliiga,226.0,59.89,MATCH,100.0,exact
GE1N,Georgia,Erovnuli Liga,Erovnuli Liga 2,258.0,57.46,MATCH,88.88888888888889,country_fuzzy
GEO2,Georgia,Erovnuli Liga 2,Erovnuli Liga 2,258.0,57.46,MATCH,100.0,exact
GHPL,Ghana,Ghana Premier League,Ghana Premier League,85.0,69.75,MATCH,100.0,exact
GRS2,Greece,Super League 2,Super League 2,208.0,61.10,MATCH,100.0,exact
ISL3,Iceland,2. deild,2. Deild,341.0,50.01,MATCH,100.0,exact
IND1,India,Indian Super League,Indian Super League,200.0,61.55,MATCH,100.0,exact
IRN2,Iran,Azadegan League,Azadegan League,153.0,64.98,MATCH,100.0,exact
IRN1,Iran,Persian Gulf Pro League,Persian Gulf Pro League,62.0,72.48,MATCH,100.0,manual
ISR2,Israel,Liga Leumit,Liga Leumit,148.0,65.20,MATCH,100.0,exact
JFL,Japan,Japan Football League,Japan Football League,282.0,54.90,MATCH,100.0,exact
LET1,Latvia,Virsliga,Latvian Virsliga,123.0,66.68,MATCH,100.0,manual
MYS1,Malaysia,Malaysia Super League,Malaysian Super League,171.0,63.59,MATCH,96.55172413793103,country_fuzzy
MLD1,Maldives,Dhivehi Premier League,Dhivehi Premier League,364.0,47.32,MATCH,100.0,exact
MEX2,Mexico,Liga de Expansión MX Clausura,Liga de Expansión MX,78.0,70.38,MATCH,100.0,exact
510,Netherlands,Derde Divisie A,Derde Divisie,329.0,51.12,MATCH,92.85714285714286,country_fuzzy
511,Netherlands,Derde Divisie B,Derde Divisie,329.0,51.12,MATCH,92.85714285714286,country_fuzzy
PAR2,Paraguay,División Intermedia,Division Intermedia,90.0,68.90,MATCH,100.0,exact
PT3A,Portugal,Liga 3,Liga 3,114.0,67.40,MATCH,100.0,exact
QSL,Qatar,Qatar Stars League,Qatar Stars League,72.0,70.70,MATCH,100.0,exact
