player_id,career_length,international_moves,first_club,last_club,career_path
65,12,7,Unbekannt,Unbekannt,Unbekannt → CSKA U18 → ZSKA Sofia → B. Leverkusen → Tottenham → Unbekannt → FC Fulham → AS Monaco → PAOK Saloniki → Vereinslos → Kerala Blasters → Unbekannt
3220,16,14,Unbekannt,Unbekannt,Unbekannt → Aalesunds FK → AS Monaco → Liverpool → AS Rom → FC Fulham → APOEL Nikosia → Odisha FC → Aalesunds FK → Unbekannt → Chennaiyin FC → Unbekannt → SK Rollon → Unbekannt → Avaldsnes IL → Unbekannt
3580,10,4,Newcastle U18,Unbekannt,Newcastle U18 → Newcastle → Aston Villa → FC Fulham → QPR → Brighton → Melbourne City → Kerala Blasters → Heart of Midl. → Unbekannt
3659,20,15,Vasalund U19,Unbekannt,Vasalund U19 → Brommapojkarna → Unbekannt → Sheffield Wed. → Unbekannt → Aarhus GF → Unbekannt → Roter Stern → Unbekannt → Glasgow Rangers → Plymouth Argyle → AIK → Fehérvár → FC Blackpool → Royal Antwerpen → Vereinslos → Brommapojkarna → Vasalunds IF → Chennaiyin FC → Unbekannt
6090,25,5,AS Rom U20,Unbekannt,AS Rom U20 → AS Rom → Lecce → AS Rom → AC Perugia → AS Rom → AC Perugia → Juventus → AC Perugia → Juventus → Parma Calcio → Juventus → AC Florenz → Juventus → Neapel → Palermo → Neapel → Parma Calcio → Lecce → Delfino Pescara → Varese → Chennaiyin FC → Ischia → Chennaiyin FC → Unbekannt
6119,23,20,AJ Auxerre U19,Unbekannt,AJ Auxerre U19 → AJ Auxerre → FC Valencia → Liverpool → Juventus → Paris SG → AC Florenz → Paris SG → Vereinslos → UD Levante → SH Shenhua → Vereinslos → FC Pune City → Vereinslos → Ternana → Vereinslos → Mitra Kukar → San Luis → Kitchee → Vereinslos → FC Sochaux → Vereinslos → Unbekannt
6934,13,9,Unbekannt,Unbekannt,Unbekannt → Sakaryaspor → Fenerbahce → Middlesbrough → Stoke City → VfL Wolfsburg → Bolton → VfL Wolfsburg → Bursaspor → Vereinslos → Umm Salal SC → FC Pune City → Unbekannt
7528,20,10,Unbekannt,Unbekannt,Unbekannt → Real Madrid C → RM Castilla → Real Madrid → CA Osasuna → Esp. Barcelona → FC Málaga → Esp. Barcelona → UD Levante → Atlante → UD Levante → Atlante → Asteras → Vereinslos → Rac. Santander → ATK → Vereinslos → CD Lealtad → Peña Sport FC → Unbekannt
13389,15,13,Unbekannt,Unbekannt,Unbekannt → ASEC Mimosas → KRC Genk  → AS St.-Étienne → Tottenham → FC Sevilla → Trabzonspor → Vereinslos → Akhisarspor → FC Pune City → Vereinslos → NorthEast Utd. → Vereinslos → Semen Padang → Unbekannt
14270,26,16,Espanyol B,Unbekannt,Espanyol B → FC Marco → Paços Ferreira → Desportivo Aves → Shinnik → Lok Moskau → FC Reading → Lok Moskau → FC Reading → FC Burnley → Bristol City → FC Burnley → Middlesbrough → Vereinslos → Panetolikos → Charlton Athl. → Vereinslos → NorthEast Utd. → FC Pune City → Vereinslos → Port Vale → Jamshedpur FC → ATK → Vereinslos → CF Igualada → Unbekannt
17042,14,5,Unbekannt,Unbekannt,Unbekannt → ASK Voitsberg → DSV Leoben → ASK Voitsberg → DSV Leoben → Sturm Graz → Triestina → Austria Wien → Sturm Graz → SV Ried → FC Pune City → Hyderabad FC → Lebring → Unbekannt
22877,15,4,SfB-Oure FA U19,Unbekannt,SfB-Oure FA U19 → Lyngby BK U19 → Lyngby BK → Fremad Amager → Lyngby BK → Bröndby IF → Unbekannt → Nordsjaelland → Vitesse Arnheim → Roda JC → Vitesse Arnheim → Roda JC → KV Mechelen → Odisha FC → Unbekannt
25825,11,6,Pedras Rubras,Unbekannt,Pedras Rubras → Gil Vicente → CS Marítimo → Vit. Guimarães → Sporting Gijón → Paços Ferreira → Atlético CP → FC Goa → Atlético CP → FC Goa → Unbekannt
26036,19,7,Unbekannt,Unbekannt,Unbekannt → NC Foresta Sv. → Unbekannt → Ceahlaul → FC Dinamo → Ceahlaul → FC Dinamo → Ceahlaul → FC Dinamo → Astra Giurgiu → TJ Jinmen Tiger → BJ BSU → FC Brasov → CFR Cluj → Mumbai City → Perth Glory → Mumbai City → Chennaiyin FC → Unbekannt
29039,23,11,Unbekannt,Unbekannt,Unbekannt → FC Porto B → FC Porto → Estrela Amadora → FC Porto → Leiria → FC Porto → Leixões → FC Porto → AS St.-Étienne → FC Porto → FC Toulouse → Olympiakos → Dinamo Zagreb → Vereinslos → Desportivo Aves → Mumbai City → Leixões → Unbekannt → Pedrouços → Unbekannt → FC Boudry → Unbekannt
32324,24,7,VfB Marburg U19,SV Dersim,VfB Marburg U19 → VfB Marburg → SC Waldgirmes → Bonner SC → SC Waldgirmes → VfB Marburg → Eintr. Wetzlar → Spfr. Siegen → SC Waldgirmes → TSV Steinbach → Stadtallendorf → FC Ederbergland → TG Friedberg → Aizawl FC → Abahani Ltd. → Chennaiyin FC → Vereinslos → Abahani Ltd. → Real Kashmir → TG Friedberg → SF Friedrichsd. → DJKSF Bad Homb. → Königstein → SV Dersim
34116,29,26,Honvéd U19,Hilalspor,Honvéd U19 → Honvéd → AJ Auxerre → Motherwell FC → AJ Auxerre → NEC Nijmegen → CA Osasuna → NEC Nijmegen → Vereinslos → Odense BK → Vereinslos → FC Pune City → Grasshoppers → Alavés → Perth Glory → Mumbai City → Kitchee → Honvéd → Vereinslos → Kitchee → Honvéd → Peñarol → Wanderers → Vereinslos → Central Español → Vereinslos → Episkopi → Unbekannt → Hilalspor
34207,19,8,Unbekannt,Unbekannt,Unbekannt → Tranmere Rovers → Leicester City → FC Barnsley → Preston NE → Doncaster Rov. → Preston NE → Fleetwood Town → Preston NE → Kerala Blasters → Tranmere Rovers → ATK → Ponferradina → ATK → Extremadura → Kerala Blasters → FC Pune City → Vereinslos → Unbekannt
34913,12,5,Unbekannt,Schaerbeek,Unbekannt → Tubize-Braine → RE Virton → Tubize-Braine → Royal Antwerpen → Lierse SK → Simurq → Cercle Brügge → Nea Salamis → NorthEast Utd. → RFC Lüttich → Schaerbeek
40417,17,7,AJ Auxerre U19,Unbekannt,AJ Auxerre U19 → AJ Auxerre B → LOSC Lille B → Lillestrøm SK → Kalamata → Asteras → Vereinslos → Panserraikos → Veria 1960 → AE Larisa → Veria 1960 → Panetolikos → Veria 1960 → Kalamaria → Kerala Blasters → Panserraikos → Unbekannt
41132,17,7,Unbekannt,Unbekannt,Unbekannt → Sunderland U18 → Sunderland U21 → Chesterfield → Sunderland U21 → Hartlepool Utd. → Stevenage → Plymouth Argyle → Bristol Rovers → FC Blackpool → Motherwell FC → FC Blackpool → Motherwell FC → Jamshedpur FC → Hartlepool Utd. → Inter Kashi  → Unbekannt
41647,14,13,Unbekannt,Unbekannt,Unbekannt → Pyunik Erewan → FC Rapid 1923 → KAA Gent → FC Rapid 1923 → Paris SG → Hapoel Tel Aviv → Vereinslos → ATK → Hapoel Tel Aviv → Chennaiyin FC → Vereinslos → FC Pune City → Unbekannt
42665,22,14,Zalgiris,Unbekannt,Zalgiris → FBK Kaunas → Kauno Jegeriai → FBK Kaunas → Silute → FBK Kaunas → FK Smorgon → FBK Kaunas → Metalurgs → FK Minsk → Suduva → Univ. Craiova → Wigry Suwalki → Riteriai → Bnei Yehuda → Ratchaburi FC → Hapoel Tel Aviv → Chennaiyin FC → Jamshedpur FC → Chennaiyin FC → Kauno Zalgiris → Unbekannt
43145,15,6,Olympic,Unbekannt,Olympic → FC Barnsley → AFC Rochdale → Chester City → York City → Scarborough → Worksop Town → Perth Glory → Wellington → East Bengal FC → NorthEast Utd. → East Bengal FC → Vereinslos → Newcastle Oly. → Unbekannt
44122,18,14,Unbekannt,Unbekannt,Unbekannt → Hibernians FC → Marsaxlokk → E. Braunschweig → Marsaxlokk → Carl Zeiss Jena → Marsaxlokk → Austria Kärnten → Ferencváros → Olymp. Volos → Panionios → Omonia Nikosia → FSV Frankfurt → Omonia Nikosia → Boavista → Apol. Limassol → Chennaiyin FC → Unbekannt
45522,10,3,Tottenham U18,Unbekannt,Tottenham U18 → Tottenham U21 → Burton Albion → Sheffield Wed. → Birmingham City → East Bengal FC → Unbekannt → Hemel → Vereinslos → Unbekannt
52209,23,8,Ol. Nîmes U19,Sisaket Utd.,Ol. Nîmes U19 → Nîmes Olympique → AJ Auxerre → SM Caen → AJ Auxerre → FC Valenciennes → AJ Auxerre → CS Sedan → AJ Auxerre → EA Guingamp → Royal Mouscron → SK Beveren → Legia Warschau → SK Beveren → Legia Warschau → NEC Nijmegen → Ratchaburi FC → Vereinslos → Uthai Thani → Khon Kaen Utd. → Kasetsart FC → Khon Kaen Utd. → Sisaket Utd.
56370,20,12,ADO U21,Unbekannt,ADO U21 → ADO Den Haag → ADO U21 → Excelsior → Feyenoord → PEC Zwolle → Feyenoord → Vereinslos → NAC Breda → Perth Glory → Vereinslos → Stal Kamyanske → Vereinslos → ADO Den Haag → Vereinslos → Odisha FC → Vereinslos → FC Lienden → Smitshoek → Unbekannt
57186,11,9,EF Ouagadougou,Unbekannt,EF Ouagadougou → EA Guingamp → Olympique Lyon → FC Málaga → R. Straßburg → FC Málaga → Ankaragücü → Arsenal Tula → Vereinslos → Kerala Blasters → Unbekannt
58001,26,8,Unbekannt,Metropolitanos,Unbekannt → Valencia B → CD Alcoyano → Valencia B → UD Salamanca → Valencia B → Ciudad Murcia → Valencia B → Gimnàstic → Valencia B → UD Salamanca → Valencia B → FC Valencia → FC Getafe → Unbekannt → FC Getafe → Al-Gharafa → Rayo Vallecano → Bengaluru FC → Omonia Nikosia → Dep. A Coruña → Real Murcia → CF Intercity → Arenteiro → Puerto Cabello → Metropolitanos
59344,7,3,Unbekannt,Kitchee,Unbekannt → Real Sociedad → Real Madrid → Real Sociedad → FC Dallas → Vereinslos → Kitchee
60258,15,7,Unbekannt,Sliema Wander.,Unbekannt → FC Koper → NK Maribor → ND Gorica → SK Beveren → Vereinslos → Saarbrücken → Floriana FC → Birkirkara FC → Vereinslos → FSV Frankfurt → Tarxien → Santa Lucia FC → Gudja United FC → Sliema Wander.
61842,28,4,Tottenham U18,Kanchanaburi FC,Tottenham U18 → Yeovil Town → Tottenham U18 → Tottenham U21 → Leyton Orient → Tottenham U21 → MK Dons → Tottenham U21 → Ipswich Town → Tottenham U21 → FC Watford → Tottenham U21 → Millwall → Tottenham U21 → Tottenham → Leeds United → Tottenham → Birmingham City → Tottenham → QPR → Tottenham → Newcastle → Crystal Palace → FC Everton → Vereinslos → Luton Town → Antalyaspor → Kanchanaburi FC
64481,14,10,Unbekannt,Unbekannt,Unbekannt → AZ Alkmaar II → Excelsior → Elazigspor  → ADO Den Haag → Philadelphia → ZSKA Sofia → Panionios → Vereinslos → Roda JC → Hyderabad FC → Roda JC → MVV Maastricht → Unbekannt
64495,10,4,Labasa FC,Bula FC,Labasa FC → Waitakere Utd. → Auckland City → Wellington → ATK → Mohun Bagan SG → Bengaluru FC → Odisha FC → Malappuram FC → Bula FC
64909,14,10,Unbekannt,Vakhsh ,Unbekannt → Dynamo Dushanbe → Istiklol → Persela → Istiklol → FK Buxoro → FK Khujand → Chennaiyin FC → ZSKA Dushanbe → Abdysh-Ata Kant → FC Regar-TadAZ → Rahmatganj → FK Eskhata → Vakhsh 
67064,24,6,Hertha BSC U17,YB Longding,Hertha BSC U17 → Hertha BSC U19 → 1.FC Nürnberg → Carl Zeiss Jena → 1.FC Nürnberg → RW Oberhausen → 1.FC Nürnberg → Nürnberg II → FSV Frankfurt → KS Samara → FK Ufa → FK Rostov → Arsenal Tula → Anzhi → Arsenal Tula → Amkar Perm → Korona Kielce → Raków → Wisla Krakau → WH Yangtze → QD Hainiu → East Bengal FC → Muangthong Utd. → YB Longding
68436,17,7,PAO U19,Tulsa,PAO U19 → Panathinaikos → Niki Volos → Panathinaikos → VVV-Venlo → Panathinaikos → Atlanta → Charleston → Atlanta → Charleston → Atlanta → Kansas City → Vereinslos → North Carolina → Vereinslos → New Mexico Utd. → Tulsa
70348,11,5,Unbekannt,US Boulogne,Unbekannt → AS Denguélé → US Boulogne → Tarbes Pyrénées → Pau FC → Vereinslos → Stade Bordelais → Zejtun C. → Hibernians FC → USL Dunkerque → US Boulogne
70551,18,1,Unbekannt,Stallion Laguna,Unbekannt → Hellerup IK → BK Skjold → BGA → Brönshöj BK → Svebölle BI → Brönshöj BK → Fredensborg BI → Unbekannt → Greve Fodbold → AB Taarnby → Ishöj IF → AB Taarnby → Ishöj IF → Taarnby FF → Unbekannt → Gentofte VI → Stallion Laguna
72228,18,7,Unbekannt,Unbekannt,Unbekannt → CD Guadalajara → CD Móstoles → Valencia B → Benidorm CF → UD Lanzarote → CD Leganés → CD Guadalajara → CE Sabadell  → CD Cruz Azul → CE Sabadell  → CD Cruz Azul → Tiburones Rojos → CD Cruz Azul → Gimnàstic → FC Pune City → CA Pinto → Unbekannt
73662,14,8,FC Inter U21,Mumbai City,FC Inter U21 → FC Inter → FC Lahti → FSV Frankfurt → Energie Cottbus → Randers FC → Esbjerg fB → Mohun Bagan SG → Vereinslos → Mohun Bagan SG → Inter Kashi  → FC KTP → Vereinslos → Mumbai City
74900,24,13,Unbekannt,MFK Zvolen,Unbekannt → Slovan U19 → Slo. Bratislava → FC Petrzalka → Slo. Bratislava → Dinamo Zagreb → Erzgebirge Aue → Dinamo Zagreb → Erzgebirge Aue → 1.FC Nürnberg → SC Paderborn → 1.FC Nürnberg → Aalborg BK → B. Jerusalem → Bnei Yehuda → Vereinslos → FC Ashdod → Hapoel Haifa → Chennaiyin FC → Zalgiris → Resovia Rzeszow → Ness Ziona → Komarno → MFK Zvolen
79976,15,5,NK Interblock,Diamond Harbour,NK Interblock → Ivancna Gorica → NK Interblock → Rudar Velenje → FC Koper → NK Triglav → Vereinslos → NK Krka → NK Triglav → Ch. Brothers → NK Triglav → Bengaluru U. → Gokulam FC → Punjab  FC → Diamond Harbour
81160,11,11,Unbekannt,Unbekannt,Unbekannt → AmaZulu FC → Unbekannt → Zaglebie Lubin → Unbekannt → Zaglebie Lubin → Sparta Prag → Kerala Blasters → Podbeskidzie → Vereinslos → Unbekannt
81662,24,20,Unbekannt,Unbekannt,Unbekannt → Kidus Giorgis → Orlando Pirates → SuperSport Utd. → Mlada Boleslav → Vereinslos → SuperSport Utd. → Vereinslos → KuPS → Thanh Hoa FC → FS Stars → U. Pretoria → Milano United → Vereinslos → ATK → Vereinslos → Bidvest Wits FC → Chennaiyin FC → Vereinslos → Sheikh Russel → Highlands Park  → Vereinslos → Mohammedan → Unbekannt
85324,26,11,Unbekannt,Paju Frontier,Unbekannt → Atl. Madrileño → Atlético Madrid → Real Murcia → Atlético Madrid → SD Huesca → Atlético Madrid → Dep. A Coruña → Atlético Madrid → Real Saragossa → Atlético Madrid → SD Eibar → Atlético Madrid → Swansea City → FC Málaga → Swansea City → Alavés → Swansea City → Aston Villa → CD Leganés → Real Oviedo → CF Pachuca → Vereinslos → FC Granada → Vereinslos → Paju Frontier
86631,15,6,Unbekannt,Tochigi City,Unbekannt → Hajduk U19 → Hajduk Split → HNK Zadar → Hajduk Split → HNK Zadar → Hajduk Split → NK Osijek → Hajduk Split → Incheon Utd. → Cerezo Osaka → SH Shenhua → Cerezo Osaka → Incheon Utd. → Tochigi City
86880,19,14,AJ Auxerre B,Unbekannt,AJ Auxerre B → Espanyol B → Halmstads BK → Espanyol B → UD Melilla → Etar → Loko Sofia → Platanias → Levadiakos → Kerala Blasters → Unbekannt → Vereinslos → Poissy FC → Mühlenbach → US Lusitanos → Vereinslos → US Lusitanos → US Ivry → Unbekannt
87052,33,14,FC Empoli U19,Kuala Lumpur ,FC Empoli U19 → FC Empoli → Neapel → FC Empoli → Neapel → FC Empoli → Neapel → Ternana → Neapel → AS Cittadella → Neapel → AS Cittadella → Neapel → Reggina → Neapel → Veria 1960 → Neapel → Latina Calcio → Neapel → Nottingham → Neapel → AD Alcorcón → Gimnàstic → Livorno → Gaz Metan → Suwon Bluewings → UTA Arad → Bnei Sachnin → Buriram Utd. → Johor DT → PSS Sleman → Johor DT → Kuala Lumpur 
87298,18,1,Rabotn. Skopje,Santa Lucia FC,Rabotn. Skopje → Tikves → Horizont Turn. → Teteks Tetovo  → Vardar Skopje → FC Shkupi → Brera Strumica → Renova → Unbekannt → Rabotn. Skopje → Teteks Tetovo  → Unbekannt → Vardar Skopje → Gostivar → Unbekannt → Euromilk GL → Sloga 1934 → Santa Lucia FC
89756,26,14,Colo-Colo U21,Ayutthaya Utd.,Colo-Colo U21 → Colo-Colo → Ñublense → Colo-Colo → FC Edmonton → Colo-Colo → Unbekannt → AC Barnechea → Bahlinger SC → Unbekannt → Curicó Unido → Melaka Utd → Perak FC → Curicó Unido → Coquimbo Unido → Perak FC II → Barito Putera → Rangers Talca → Khon Kaen Utd. → N. Sembilan FC → U. Concepción → Trat FC → Police Tero FC → Trat FC → Rayong FC → Ayutthaya Utd.
90725,8,5,Unbekannt,Persija,Unbekannt → NK Zagreb → NK Lokomotiva → Vejle BK → CFR Cluj → Vejle BK → NK Lokomotiva → Persija
92430,23,2,Brist. Rov. U18,Lamphun Warrior,Brist. Rov. U18 → Bristol Rovers → Unbekannt → Bristol Rovers → Unbekannt → Bristol Rovers → Bath City → Bristol Rovers → Bath City → Bristol Rovers → Dorchester → Sutton Utd. → Forest Green → Barnet → Sutton Utd. → DPMM FC → Swat Cat → Port FC → Chonburi FC → Port FC → Sisaket Utd. → Port FC → Lamphun Warrior
93541,23,14,Unbekannt,Vereinslos,Unbekannt → Nürnberg U17 → Slavia U19 → Mlada Boleslav → SB Ankaraspor → Fethiyespor → SB Ankaraspor → KDA FC → Melaka Utd → Johor DT → Newcastle → Johor DT → Odisha FC → Johor DT → Khon Kaen Utd. → Johor DT → Terengganu FC → Johor DT → Unbekannt → Schaffhausen II → Miami United → Rapperswil II → Vereinslos
93614,22,19,Tempête,Sabah,Tempête → Le Mans FC B → FC Le Mans → FC Sion → Grenoble Foot → FC Sion → Fréjus-St-Raph. → Ethnikos → 1461 Trabzon → Kerala Blasters → Syrianska FC → Zira FK → Jamshedpur FC → Abahani Ltd. → Kelantan FC → Vereinslos → Unbekannt → Persijap → Calicut FC → Lalitpur City → Vereinslos → Sabah
94304,15,8,Roter Stern U19,Buriram Utd.,Roter Stern U19 → Unbekannt → Roter Stern U19 → Roter Stern → Rad Belgrad → Eskisehirspor → Manisaspor → Eskisehirspor → CA Osasuna → Arsenal Tula → Roter Stern → Arsenal Tula → Buriram Utd. → Vereinslos → Buriram Utd.
95793,19,13,Unbekannt,Unbekannt,Unbekannt → Slavia U19 → Slavia Prag B → NEC Nijmegen → Veendam → NEC Nijmegen → Levski Sofia → Mumbai City → FC Rapid 1923 → Mumbai City → Mlada Boleslav → Teplice → Nea Salamis → Pohronie → Ac. Clinceni → PAEEK Kyrenia → Amaliendorf → Benesov → Unbekannt
99993,17,11,CA Peñarol U19,Vancouver FC,CA Peñarol U19 → Peñarol → SK Brann → Peñarol → Lillestrøm SK → Peñarol → CA Fénix → Rampla Jrs → CA Fénix → Vancouver → Colorado → Volos NFC → CD Maldonado → Ethnikos → Rampla Jrs → Vereinslos → Vancouver FC
102097,14,10,Unbekannt,Unbekannt,Unbekannt → Stjarnan → KR Reykjavík → GAIS → KR Reykjavík → Halmstads BK → Nordsjaelland → Stjarnan → Kerala Blasters → Stjarnan → KR Reykjavík → Unbekannt → KFG → Unbekannt
103607,30,18,Unbekannt,One Taguig,Unbekannt → Groningen U19 → Vereinslos → Vancouver → West Brom → Exeter City → West Brom → Vancouver → West Brom → St. Johnstone → West Brom → St. Johnstone → Stevenage → Notts County → Stevenage → Crewe Alexandra → Vereinslos → Dundee FC → Falkirk → Dundee FC → Pacific FC → Vereinslos → Cavalry FC → Visakha FC → Svay Rieng → Chonburi FC → Nongbua FC → Chonburi FC → Bangkok FC → One Taguig
104219,19,11,Zeljeznicar U19,Unbekannt,Zeljeznicar U19 → Otelul Galati → Petrolul → Otelul Galati → Farul Constanta → Otelul Galati → KVC Westerlo → Ittihad Tanger → RS Berkane → Ohod Club → Zeljeznicar → Umm Salal SC → Chennaiyin FC → Kerala Blasters → Al-Jahra → Vereinslos → Igman Konjic → GOSK Gabela → Unbekannt
105500,30,12,QPR U18,Vereinslos,QPR U18 → QPR → Aldershot → QPR → Southend United → QPR → Yeovil Town → QPR → Stockport → Bromley → FC Brentford → Gillingham → FC Brentford → Gillingham → Northampton → Gillingham → Aldershot → Gillingham → Kerala Blasters → Partick Thistle → Vereinslos → Kerala Blasters → Vereinslos → Ebbsfleet → Gokulam FC → Selangor FC → Vereinslos → PDRM FC → Unbekannt → Vereinslos
107817,13,6,Asgabat,Kitchee,Asgabat → Unbekannt → Jablonec → Slavia Prag → Mlada Boleslav → Slavia Prag → Pribram → Slavia Prag → Irtysh → Shakhter K. → Al-Muharraq → Kaspiy Aktau → Kitchee
108793,26,14,Unbekannt,Unbekannt,Unbekannt → Motor Lubawa → Drweca NML → Olimpia Elblag → Wigry Suwalki → Unia Janikowo → Polonia Bytom → LKS Lodz → Slask Wroclaw → Omonia Nikosia → Tobol Kostanay → AEL Limassol → Levski Sofia → Al-Wehda → Ratchaburi FC → Police Tero FC → Ratchaburi FC → Al-Faisaly → Al-Batin → Hajer → FCSB → Al-Faisaly → East Riffa → Chennaiyin FC → Vereinslos → Unbekannt
109838,16,10,Unbekannt,Vereinslos,Unbekannt → Ajax Cape Town → Orlando Pirates → SuperSport Utd. → Bidvest Wits FC → SuperSport Utd. → ATK → Ajax Cape Town → Vereinslos → Jamshedpur FC → IFK Värnamo → Vereinslos → Bidvest Wits FC → Vereinslos → Manukau → Vereinslos
109870,17,10,Primavera-SP,Unbekannt,Primavera-SP → AA Anapolina → Anápolis-GO → Ajax Cape Town → Sundowns → CD América → Ratchaburi FC → CRB → Cape Town City → Macaé-RJ → Vereinslos → Esteghlal Khz. → FC Pune City → Mohun Bagan SG → East Bengal FC → NEROCA FC → Unbekannt
110000,17,9,Unbekannt,Vereinslos,Unbekannt → Le Mans FC B → SC Bastia → Le Mans FC B → FC Le Mans → Zulte Waregem → RSC Anderlecht → QPR → Zulte Waregem → KV Oostende → Zulte Waregem → NorthEast Utd. → Vereinslos → Farense → Vereinslos → Saint-Pryvé FC → Vereinslos
110283,13,5,CABJ U20,Marsaxlokk,CABJ U20 → Boca Juniors → Nacional → Boca Juniors → Aldosivi → Boca Juniors → Aldosivi → Ind. Rivadavia → Valletta FC → Gimnasia (M) → Valletta FC → Birkirkara FC → Marsaxlokk
113609,13,3,CABJ U20,Gudja United FC,CABJ U20 → Boca Juniors II → Boca Juniors → Union Española → Boca Juniors → Douglas Haig → Boca Juniors → CA Temperley → Ind. Rivadavia → Floriana FC → Birkirkara FC → Valletta FC → Gudja United FC
118850,12,6,Unbekannt,Aktobe,Unbekannt → FK Mariupol → Unbekannt → FK Mariupol → Unbekannt → Shakhtar D. → Dinamo Moskau → VfL Bochum → Dinamo Moskau → VfL Bochum → Vereinslos → Aktobe
119569,8,4,Unbekannt,DPMM FC,Unbekannt → Aberdeen FC → FC Blackpool → Rotherham → FC Portsmouth → FC Ashdod → Dundee FC → DPMM FC
122489,15,5,Unbekannt,Cebu,Unbekannt → Stade Gabèsien → Unbekannt → EOG Kram → ES Zarzis → Jendouba Sport → Stade Tunisien → CS Sfaxien → Esperance → Vereinslos → AS Soliman → EO Sidi Bouzid → Unbekannt → EGS Gafsa → Cebu
122676,13,4,Unbekannt,Buriram Utd.,Unbekannt → AKA LASK U16 → AKA LASK U18 → SV Ried → RB Salzburg → Greuther Fürth → TSG Hoffenheim → Union Berlin → TSG Hoffenheim → VfL Bochum → Kalba FC → LASK → Buriram Utd.
122695,14,10,Unbekannt,Uthai Thani,Unbekannt → Arsenal U18 → Arsenal → 1.FC Nürnberg → 1860 München → FC St. Gallen → FC Sion → Fortuna Sittard → Al-Adalah → Vereinslos → Wehen Wiesbaden → Vereinslos → Otelul Galati → Uthai Thani
124721,14,7,Unbekannt,Eastern Distr.,Unbekannt → TeBe Berlin U17 → U. Berlin U19 → Union Berlin → Union Berlin II → 1.FC Magdeburg → Rot-Weiß Erfurt → Vereinslos → Berliner AK → Vereinslos → Unbekannt → Gokulam FC → Vereinslos → Eastern Distr.
125023,14,8,Unbekannt,Marsaxlokk,Unbekannt → Werder U17 → W. Bremen U19 → Vereinslos → LR Vicenza U19 → LR Vicenza → Monza → LR Vicenza → ES Sahel → Triestina → UTA Arad → Stade Tunisien → Floriana FC → Marsaxlokk
125054,11,4,Unbekannt,Vereinslos,Unbekannt → Omonia Nikosia → Doxa Katokopia → Omonia Nikosia → Ethnikos → AEL Limassol → Doxa Katokopia → East Bengal FC → Vereinslos → Doxa Katokopia → Vereinslos
125802,26,20,Unbekannt,Bars,Unbekannt → Dordoi Bishkek → Loko Moskau II → Dordoi Bishkek → H. Petah Tikva → Vereinslos → Dordoi Bishkek → Denizlispor → Dordoi Bishkek → Afyonspor → Usak Spor → Serik Spor → Kyrgyzaltyn → Somaspor → Dordoi Bishkek → Unbekannt → Dordoi Bishkek → Chennaiyin FC → Alga Bishkek → Navbahor → Mohammedan → Ha Noi FC → Vereinslos → Dordoi Bishkek → Alga Bishkek → Bars
129480,10,2,Unbekannt,Vereinslos,Unbekannt → RCD Mallorca B  → FC Barakaldo → Atl. Levante → FC Barakaldo → CD Badajoz → Villa S.Brígida → CD Teruel → Hibernians FC → Vereinslos
129660,18,13,Unbekannt,Mumbai City,Unbekannt → Ferro → Lanús → Johor DT → Independiente → Johor DT → Club León FC → Johor DT → Vereinslos → Lanús → Bolívar → San Marcos → Platense → Kerala Blasters → Platense → Mumbai City → Bengaluru FC → Mumbai City
131113,17,9,Defensor SC U19,Kerala Blasters,Defensor SC U19 → Defensor SC → Esp. Barcelona → Gimnàstic → Esp. Barcelona → CE Sabadell  → Esp. Barcelona → Nacional → Esp. Barcelona → Defensor SC → Tiburones Rojos → Venados FC → Tiburones Rojos → Melbourne City → Kerala Blasters → Persik → Kerala Blasters
133080,18,12,Unbekannt,Supra du Québec,Unbekannt → EA Guingamp B → Esperance → ES Sahel → Al-Madina → Ittihad Alex → Stade Tunisien → Al-Ahli Club → Al-Riffa SC → Al-Ahli → ES Metlaoui → Hajer → Al-Sahel Club → CS Chebba → Najran SC → Saint-Laurent → Unbekannt → Supra du Québec
