from_club,to_club,transfers,unique_players,avg_age,median_market_value,avg_market_value
Unbekannt,Unbekannt,349,185,17.446991404011463,0.0,859.5988538681949
Unbekannt,Vereinslos,34,31,23.205882352941178,0.0,40735.294117647056
Vereinslos,Unbekannt,31,29,26.096774193548388,0.0,83870.96774193548
Chennaiyin FC,Vereinslos,6,6,31.166666666666668,175000.0,345833.3333333333
Unbekannt,Central Florida,6,4,19.5,0.0,0.0
Vereinslos,Cavalry FC,6,6,25.5,162500.0,162500.0
Gudja United FC,Vereinslos,5,5,25.0,50000.0,70000.0
Toronto FC II,Toronto,5,2,20.8,150000.0,190000.0
Chennaiyin FC,Unbekannt,5,5,35.0,200000.0,180000.0
FC Pune City,Vereinslos,4,4,33.0,725000.0,650000.0
Peñarol,Wanderers,4,2,27.25,500000.0,431250.0
East Bengal FC,Vereinslos,4,4,31.5,200000.0,225000.0
Tacoma Defiance,Seattle,4,2,21.0,262500.0,243750.0
Tottenham U18,Tottenham U21,4,4,17.5,0.0,0.0
Toronto Lynx,Unbekannt,4,1,20.5,0.0,0.0
TFC Academy,Toronto FC II,4,4,19.25,0.0,0.0
Unbekannt,FC Bentonit,4,4,23.333333333333332,0.0,0.0
Unbekannt,San Diego State,4,2,18.75,0.0,0.0
Unbekannt,Washington,4,2,17.75,0.0,0.0
Vereinslos,Sliema Wander.,4,4,25.25,75000.0,118750.0
Ceahlaul,FC Dinamo,3,1,22.666666666666668,0.0,83333.33333333333
NAC Breda U17,NAC Breda U19,3,3,16.0,0.0,0.0
Corpus Christi,Unbekannt,3,1,24.333333333333332,0.0,0.0
EC Cruzeiro,CS Marítimo,3,1,25.333333333333332,900000.0,900000.0
Reading United,Unbekannt,3,3,20.666666666666668,0.0,0.0
Groningen U17,Groningen U19,3,3,16.666666666666668,0.0,0.0
Juventude,Unbekannt,3,2,21.0,200000.0,166666.66666666666
NorthEast Utd.,Vereinslos,3,3,29.0,500000.0,366666.6666666667
Colorado 2,Switchbacks FC,3,1,25.333333333333332,250000.0,183333.33333333334
FC Empoli,Neapel,3,1,19.0,1100000.0,883333.3333333334
FC Goa,Mumbai City,3,3,29.666666666666668,425000.0,433333.3333333333
Chennaiyin FC,Jamshedpur FC,3,3,31.0,300000.0,283333.3333333333
BG Pathum Utd.,Chiangrai Utd.,3,2,21.0,125000.0,86666.66666666667
Seattle,Tacoma Defiance,3,1,19.0,250000.0,291666.6666666667
Sliema Wander.,Vereinslos,3,3,29.666666666666668,200000.0,200000.0
Tormenta FC,Unbekannt,3,2,23.0,0.0,75000.0
Toronto,Toronto FC II,3,2,20.333333333333332,150000.0,116666.66666666667
Saint-Laurent,Unbekannt,3,3,27.666666666666668,0.0,0.0
Unbekannt,Al-Wehdat SC,3,1,23.333333333333332,0.0,0.0
Unbekannt,Arsenal U18,3,3,16.0,0.0,0.0
Unbekannt,Artsakh,3,3,22.666666666666668,0.0,0.0
Unbekannt,Atl. Ottawa,3,2,20.666666666666668,0.0,33333.333333333336
Floriana FC,Birkirkara FC,3,3,29.333333333333332,225000.0,225000.0
Unbekannt,Cetinkaya TSK,3,2,20.666666666666668,0.0,25000.0
Unbekannt,Corpus Christi,3,1,23.333333333333332,0.0,0.0
ATK,Vereinslos,3,3,32.0,0.0,50000.0
Unbekannt,Groningen U17,3,3,15.0,0.0,0.0
Unbekannt,Juventude,3,2,21.666666666666668,200000.0,166666.66666666666
Unbekannt,Ludogorets II,3,2,19.666666666666668,0.0,16666.666666666668
Unbekannt,RBNY II,3,3,17.333333333333332,0.0,0.0
Unbekannt,Reading United,3,3,20.666666666666668,0.0,0.0
Kyoto Sanga,Tochigi SC,3,2,22.666666666666668,350000.0,283333.3333333333
Unbekannt,Stallion Laguna,3,3,22.333333333333332,0.0,0.0
Unbekannt,Supra du Québec,3,3,29.666666666666668,0.0,0.0
Unbekannt,Tormenta FC,3,3,22.666666666666668,0.0,0.0
Unbekannt,Toronto Lynx,3,1,21.0,0.0,0.0
Unbekannt,USD Toreros,3,1,19.666666666666668,0.0,0.0
Aris Saloniki,Olympiakos,3,2,25.0,3000000.0,2300000.0
Kerala Blasters,Unbekannt,3,3,32.666666666666664,400000.0,575000.0
Perth Glory,Vereinslos,3,3,27.666666666666668,400000.0,400000.0
Union II,Philadelphia,3,1,18.666666666666668,175000.0,125000.0
Valletta FC,Vereinslos,3,3,28.666666666666668,150000.0,133333.33333333334
Kalev,Nomme United,3,1,18.0,25000.0,25000.0
Vereinslos,Eastern Distr.,3,3,29.0,200000.0,216666.66666666666
Vereinslos,FC Pune City,3,3,30.0,1000000.0,1033333.3333333334
Vereinslos,Kerala Blasters,3,3,30.666666666666668,400000.0,516666.6666666667
Vereinslos,Mendiola,3,3,24.666666666666668,0.0,0.0
Vereinslos,Mosta FC,3,3,24.666666666666668,50000.0,33333.333333333336
Vereinslos,Nam Dinh FC,3,3,27.666666666666668,700000.0,500000.0
FC São Paulo,América-MG,3,1,24.333333333333332,500000.0,516666.6666666667
Vereinslos,Stallion Laguna,3,2,32.0,50000.0,125000.0
Vereinslos,TB Rowdies,3,3,28.0,650000.0,558333.3333333334
Mendiola,Vereinslos,3,3,25.0,10000.0,20000.0
Vereinslos,Vancouver FC,3,3,27.333333333333332,150000.0,150000.0
