club_id,name,slug,link,is_nt
1,Saarbrücken,1-fc-saarbrucken,/1-fc-saarbrucken/startseite/verein/1,False
10003,Poissy FC,as-poissy,/as-poissy/startseite/verein/10003,False
10004,Paris FC,paris-fc,/paris-fc/startseite/verein/10004,False
100047,Real Oruro,real-oruro,/real-oruro/startseite/verein/100047,False
100148,,,,
100279,,,,
10029,Pr. Münster U19,preussen-munster-u19,/preussen-munster-u19/startseite/verein/10029,False
1003,Leicester City,leicester-city,/leicester-city/startseite/verein/1003,False
100334,Scrosoppi,scrosoppi-fc,/scrosoppi-fc/startseite/verein/100334,False
1004,Zeta Golubovci,fk-zeta-golubovac,/fk-zeta-golubovac/startseite/verein/1004,False
10044,SV Horn,sv-horn,/sv-horn/startseite/verein/10044,False
1005,Lecce,us-lecce,/us-lecce/startseite/verein/1005,False
100532,Tuloy,tuloy-fc,/tuloy-fc/startseite/verein/100532,False
1007,FC U Craiova,fc-u-craiova-1948,/fc-u-craiova-1948/startseite/verein/1007,False
100752,Adhyaksa,farmel-fc,/farmel-fc/startseite/verein/100752,False
1008,,,,
100827,FC Syunik,fc-syunik,/fc-syunik/startseite/verein/100827,False
10090,,,,
10091,Dorados Sinaloa,dorados-de-sinaloa,/dorados-de-sinaloa/startseite/verein/10091,False
10093,Indep. Medellín,independiente-medellin,/independiente-medellin/startseite/verein/10093,False
100948,Murooj,al-murooj-sc,/al-murooj-sc/startseite/verein/100948,False
1010,FC Watford,fc-watford,/fc-watford/startseite/verein/1010,False
101043,Vermont Green,vermont-green-fc,/vermont-green-fc/startseite/verein/101043,False
1011,Halmstads BK,halmstads-bk,/halmstads-bk/startseite/verein/1011,False
101128,,,,
10117,Juventus-SC,gremio-esportivo-juventus-sc-,/gremio-esportivo-juventus-sc-/startseite/verein/10117,False
10130,Silute,fk-silute,/fk-silute/startseite/verein/10130,False
10136,Leones FC,leones-fc,/leones-fc/startseite/verein/10136,False
10138,HASK Zagreb,nk-hask-zagreb,/nk-hask-zagreb/startseite/verein/10138,False
10157,Aktobe,fk-aktobe,/fk-aktobe/startseite/verein/10157,False
1017,Hapoel Tel Aviv,hapoel-tel-aviv,/hapoel-tel-aviv/startseite/verein/1017,False
10172,Saalfelden,fc-pinzgau-saalfelden,/fc-pinzgau-saalfelden/startseite/verein/10172,False
102,Stuttgart II,vfb-stuttgart-ii,/vfb-stuttgart-ii/startseite/verein/102,False
1020,FC Portsmouth,fc-portsmouth,/fc-portsmouth/startseite/verein/1020,False
10200,,,,
102031,Knoxville,one-knoxville-sc,/one-knoxville-sc/startseite/verein/102031,False
10217,Sarpsborg 08,sarpsborg-08-ff,/sarpsborg-08-ff/startseite/verein/10217,False
1022,Cerezo Osaka,cerezo-osaka,/cerezo-osaka/startseite/verein/1022,False
102290,,,,
102360,Fath Nador,fath-de-nador,/fath-de-nador/startseite/verein/102360,False
102385,Real Esppor,real-esppor,/real-esppor/startseite/verein/102385,False
102400,LAFC 2,los-angeles-fc-mls-next-pro,/los-angeles-fc-mls-next-pro/startseite/verein/102400,False
10247,Portuguesa-SP,portuguesa-sao-paulo,/portuguesa-sao-paulo/startseite/verein/10247,False
102483,Kanchana City,kanchanaburi-city,/kanchanaburi-city/startseite/verein/102483,False
102557,,,,
10262,Birkirkara FC,birkirkara-fc,/birkirkara-fc/startseite/verein/10262,False
