from_competition,to_competition,transfers,unique_players,avg_age,median_market_value
,,1301,456,20.849653045489593,0.0
,USL,71,54,22.661971830985916,0.0
USL,USL,57,31,26.29824561403509,200000.0
THA1,THA1,44,19,27.59090909090909,175000.0
MLS1,USL,42,25,22.38095238095238,187500.0
,CDN1,37,32,24.405405405405407,75000.0
IND1,IND1,36,24,31.22222222222222,300000.0
,PFL1,34,33,24.970588235294116,0.0
IND1,,32,32,31.65625,212500.0
USL,MLS1,32,18,21.96875,175000.0
,MAL1,31,26,24.903225806451612,25000.0
,MYS1,28,21,27.071428571428573,112500.0
,MLS1,25,23,20.84,0.0
USL,,25,22,22.8,125000.0
,ARM2,24,18,23.91304347826087,0.0
MAL1,MAL1,21,15,27.61904761904762,150000.0
,SER1,21,16,19.857142857142858,0.0
,AUS1,21,18,21.571428571428573,0.0
SER1,SER1,21,12,21.285714285714285,300000.0
MYS1,MYS1,20,14,28.25,187500.0
,PO2,20,15,22.2,0.0
KR1,KR1,20,4,23.5,500000.0
,THA1,19,18,25.63157894736842,125000.0
,MAL2,19,18,24.526315789473685,0.0
,IND1,19,18,30.42105263157895,300000.0
AUS1,AUS1,19,10,22.842105263157894,300000.0
BRA1,BRA1,18,5,22.833333333333332,725000.0
,USC3,17,16,21.41176470588235,0.0
MLS1,,16,15,24.25,187500.0
,THA2,16,12,27.5,0.0
NL1,NL1,16,8,24.9375,700000.0
ES1,ES2,16,8,22.9375,750000.0
,SFA1,16,9,23.5625,87500.0
SER1,,16,14,21.0,50000.0
IN1L,IN1L,16,14,29.333333333333332,262500.0
GR1,GR1,15,6,23.733333333333334,400000.0
IT2,IT1,15,3,20.6,800000.0
ES2,ES2,15,9,26.466666666666665,550000.0
THA2,THA1,15,11,30.0,150000.0
MLS1,MLS1,15,8,25.6,1000000.0
MAL2,,15,14,25.666666666666668,50000.0
THA1,THA2,14,10,30.571428571428573,150000.0
IT1,IT1,14,1,24.214285714285715,0.0
,HGKG,14,12,25.714285714285715,25000.0
RO1,RO1,14,8,24.214285714285715,250000.0
,BRA1,14,10,20.571428571428573,0.0
SFA1,SFA1,13,7,23.615384615384617,475000.0
SFA1,,13,7,25.615384615384617,150000.0
IT1,IT2,13,3,19.923076923076923,800000.0
CDN1,CDN1,13,9,25.692307692307693,175000.0
,RO1,13,10,22.153846153846153,0.0
BRA2,,13,7,22.692307692307693,100000.0
FR2,FR2,13,9,24.384615384615383,600000.0
GB3,GB2,12,8,21.75,200000.0
NL2,NL2,12,8,23.583333333333332,262500.0
BU1,BU1,12,7,23.833333333333332,300000.0
FR2,FR1,12,10,23.25,700000.0
,GB3,12,7,20.166666666666668,0.0
,TUN1,12,7,24.666666666666668,0.0
PO1,PO1,12,3,22.166666666666668,850000.0
MYS1,,12,11,30.083333333333332,125000.0
FR1,FR2,12,8,23.25,650000.0
ES2,ES1,12,6,23.583333333333332,750000.0
BRA1,BRA2,12,7,22.416666666666668,250000.0
THA1,,11,11,29.272727272727273,300000.0
,WER1,11,8,20.0,0.0
PFL1,,11,11,24.818181818181817,50000.0
GB4,GB3,11,6,24.818181818181817,150000.0
,INIL,11,8,29.0,150000.0
,IN1L,11,11,28.4,200000.0
FR3,FR2,11,8,22.90909090909091,300000.0
,BRA2,11,5,22.727272727272727,0.0
ES1,ES1,11,4,24.818181818181817,2000000.0
