from_country,to_country,transfers,unique_players,avg_age,median_market_value
184,184,436,80,22.14908256880734,0.0
189,189,299,52,20.82274247491639,0.0
157,157,230,37,22.27391304347826,100000.0
50,50,186,49,20.79032258064516,0.0
136,136,182,41,20.89010989010989,0.0
26,26,135,19,22.0,0.0
122,122,132,25,19.363636363636363,0.0
167,167,112,34,27.1875,125000.0
40,40,111,28,21.00900900900901,0.0
75,75,101,14,20.96039603960396,125000.0
215,215,83,18,19.602409638554217,0.0
147,147,75,16,20.933333333333334,0.0
106,106,72,32,26.069444444444443,50000.0
12,12,69,22,20.492753623188406,0.0
80,80,65,21,22.615384615384617,0.0
77,77,64,22,22.890625,50000.0
37,37,59,9,19.54237288135593,0.0
67,67,56,32,30.982142857142858,300000.0
87,87,56,14,22.107142857142858,125000.0
184,0,54,43,23.90740740740741,62500.0
0,184,53,43,24.169811320754718,50000.0
67,0,50,44,31.42,200000.0
125,125,47,12,20.893617021276597,25000.0
39,39,43,9,23.093023255813954,0.0
56,56,42,10,23.547619047619047,200000.0
103,103,37,17,26.324324324324323,150000.0
68,68,35,22,24.484848484848484,150000.0
140,140,35,11,22.057142857142857,150000.0
127,127,34,5,17.058823529411764,0.0
188,188,32,6,22.90625,50000.0
53,53,31,7,20.774193548387096,175000.0
110,110,31,10,22.161290322580644,300000.0
71,71,30,6,20.6,0.0
148,148,30,10,22.533333333333335,50000.0
24,24,30,7,20.933333333333334,100000.0
18,18,30,5,19.733333333333334,62500.0
190,190,29,8,20.482758620689655,50000.0
19,19,29,9,22.724137931034484,250000.0
10,10,28,11,24.607142857142858,50000.0
141,141,28,9,21.678571428571427,362500.0
28,28,28,10,22.107142857142858,100000.0
177,177,27,8,19.85185185185185,0.0
174,174,26,10,21.923076923076923,0.0
216,216,25,7,21.44,25000.0
157,0,25,24,26.12,50000.0
9,9,25,8,21.48,50000.0
106,0,25,22,27.04,50000.0
100,100,25,4,25.24,125000.0
0,106,24,21,25.875,12500.0
50,0,24,19,25.875,112500.0
0,67,23,19,30.434782608695652,300000.0
135,135,22,6,22.954545454545453,0.0
189,0,22,16,26.09090909090909,25000.0
189,190,22,16,24.045454545454547,150000.0
80,184,22,14,20.363636363636363,0.0
33,33,22,5,21.5,75000.0
155,155,22,8,20.90909090909091,100000.0
218,218,22,8,21.818181818181817,17500.0
184,80,21,15,21.428571428571427,0.0
83,83,20,8,23.0,300000.0
0,80,20,18,25.05,150000.0
0,50,20,17,25.4,0.0
0,157,19,17,25.68421052631579,0.0
40,0,19,15,23.473684210526315,0.0
190,189,18,13,24.22222222222222,362500.0
74,74,18,6,21.444444444444443,37500.0
159,159,18,8,23.27777777777778,212500.0
180,180,18,7,22.22222222222222,150000.0
0,40,18,15,24.444444444444443,87500.0
34,34,17,12,28.470588235294116,200000.0
182,182,17,5,20.823529411764707,0.0
120,120,17,7,19.0,25000.0
0,167,16,14,29.6875,125000.0
26,136,15,9,23.666666666666668,50000.0
50,19,15,10,23.466666666666665,300000.0
0,189,15,13,24.466666666666665,0.0
0,10,15,12,24.785714285714285,0.0
122,0,15,11,26.733333333333334,250000.0
133,133,14,3,22.5,225000.0
81,81,14,10,24.357142857142858,275000.0
165,165,14,4,19.071428571428573,0.0
107,107,13,6,26.076923076923077,50000.0
172,172,13,4,22.46153846153846,0.0
0,103,12,10,28.916666666666668,75000.0
136,0,12,12,25.25,100000.0
153,153,12,5,20.166666666666668,75000.0
154,154,12,3,18.833333333333332,0.0
179,179,12,4,22.416666666666668,200000.0
157,189,11,6,20.90909090909091,100000.0
19,50,11,6,23.545454545454547,300000.0
16,16,11,1,25.636363636363637,0.0
173,173,11,3,24.818181818181817,0.0
23,23,11,4,22.181818181818183,125000.0
49,49,11,5,19.272727272727273,0.0
0,12,11,10,24.545454545454547,200000.0
73,73,11,3,20.636363636363637,0.0
0,134,11,10,25.363636363636363,0.0
167,0,10,9,30.7,125000.0
134,134,10,7,27.6,25000.0
134,0,10,9,24.6,37500.0
103,0,10,9,29.9,125000.0
58,58,10,2,24.5,112500.0
157,67,10,7,29.9,225000.0
188,0,10,9,26.6,150000.0
78,78,10,2,21.4,0.0
0,28,9,7,25.666666666666668,125000.0
12,67,9,9,30.333333333333332,400000.0
190,0,9,9,24.77777777777778,150000.0
98,98,9,4,21.77777777777778,0.0
75,0,9,8,27.77777777777778,200000.0
132,132,9,3,20.444444444444443,0.0
0,136,9,9,27.11111111111111,200000.0
0,122,9,6,27.22222222222222,250000.0
189,157,9,5,23.333333333333332,750000.0
0,177,9,6,23.22222222222222,250000.0
112,112,9,2,22.666666666666668,25000.0
185,185,9,7,26.22222222222222,175000.0
28,0,9,8,25.555555555555557,250000.0
136,26,8,6,24.125,500000.0
177,0,8,7,23.125,200000.0
44,44,8,2,18.875,0.0
47,47,8,1,17.0,25000.0
167,103,8,8,30.5,250000.0
0,190,8,7,25.75,212500.0
189,67,8,6,28.75,250000.0
0,75,8,8,25.25,87500.0
50,157,8,7,22.75,12500.0
56,0,8,7,29.375,325000.0
184,189,7,4,21.714285714285715,100000.0
75,50,7,5,22.714285714285715,25000.0
103,68,7,6,28.142857142857142,250000.0
53,81,7,5,27.142857142857142,250000.0
174,0,7,7,27.0,900000.0
0,0,7,7,29.857142857142858,0.0
80,0,7,7,25.714285714285715,150000.0
0,188,7,7,25.142857142857142,75000.0
87,77,7,6,27.857142857142858,450000.0
189,12,7,6,24.285714285714285,100000.0
0,77,7,7,24.428571428571427,100000.0
136,106,7,7,23.142857142857142,0.0
12,0,7,7,28.142857142857142,300000.0
0,147,7,6,21.714285714285715,0.0
0,218,7,7,29.142857142857142,200000.0
189,184,6,5,21.833333333333332,200000.0
120,12,6,4,23.333333333333332,225000.0
147,0,6,5,24.5,112500.0
10,0,6,6,26.333333333333332,100000.0
0,185,6,6,26.333333333333332,137500.0
0,56,6,6,27.0,175000.0
0,68,6,6,28.166666666666668,225000.0
79,79,6,3,25.166666666666668,0.0
159,0,6,3,27.666666666666668,150000.0
34,0,6,6,28.0,450000.0
0,155,6,6,23.666666666666668,25000.0
0,148,6,5,31.166666666666668,75000.0
0,34,6,6,28.333333333333332,650000.0
68,103,6,5,30.5,225000.0
0,140,6,6,20.166666666666668,50000.0
116,116,6,2,20.166666666666668,37500.0
0,24,6,6,26.0,100000.0
0,125,6,5,26.833333333333332,0.0
50,189,6,5,21.833333333333332,650000.0
94,94,6,1,19.5,175000.0
184,147,5,2,23.0,350000.0
3,3,5,2,22.0,250000.0
12,87,5,3,25.8,350000.0
50,56,5,5,25.8,400000.0
50,75,5,4,23.0,300000.0
157,136,5,5,23.6,50000.0
87,0,5,4,25.2,275000.0
0,92,5,5,24.6,75000.0
0,180,5,4,25.0,150000.0
189,19,5,5,25.0,300000.0
0,87,5,5,28.2,300000.0
125,0,5,3,31.8,0.0
215,34,5,5,27.0,800000.0
73,0,5,3,28.8,0.0
0,39,5,5,25.6,100000.0
136,68,5,5,26.4,150000.0
135,0,5,4,28.8,200000.0
67,189,5,5,29.4,200000.0
242,242,5,2,22.0,50000.0
67,157,5,3,29.6,200000.0
12,189,5,4,20.4,200000.0
18,141,5,5,24.8,250000.0
167,134,5,5,29.2,0.0
155,106,5,4,23.4,100000.0
56,67,5,5,28.6,400000.0
40,106,5,3,24.2,275000.0
147,87,5,5,27.4,400000.0
67,103,5,4,29.2,325000.0
215,0,5,4,28.4,200000.0
136,157,5,4,22.8,1300000.0
50,148,5,4,23.6,300000.0
77,87,5,5,26.0,300000.0
110,184,5,4,23.4,550000.0
50,136,5,5,20.2,150000.0
189,40,5,3,26.2,3000000.0
26,167,5,5,26.0,0.0
125,34,5,3,26.2,300000.0
71,0,5,5,25.6,300000.0
157,110,5,3,31.4,800000.0
75,140,5,5,25.0,200000.0
19,0,5,5,25.4,400000.0
74,0,5,5,26.6,400000.0
141,81,4,4,26.0,600000.0
136,50,4,3,21.0,575000.0
62,184,4,3,19.0,0.0
182,184,4,2,24.0,212500.0
79,167,4,4,27.5,137500.0
67,68,4,4,32.0,350000.0
77,0,4,4,20.75,0.0
