club_id,status,name,relative_url,is_special
1,ok,1.FC Saarbrücken,/1-fc-saarbruecken/startseite/verein/1,False
1000,ok,TSG Sprockhövel,/tsg-sprockhoevel/startseite/verein/1000,False
10003,ok,Poissy FC,/poissy-fc/startseite/verein/10003,False
100037,ok,JFA Academy Fukushima U18,/jfa-academy-fukushima-u18/startseite/verein/100037,False
10004,ok,Paris FC,/paris-fc/startseite/verein/10004,False
100047,ok,Real Oruro,/real-oruro/startseite/verein/100047,False
10005,ok,SC Mirandela,/sc-mirandela/startseite/verein/10005,False
100052,ok,Preußen Espelkamp U17,/preussen-espelkamp-u17/startseite/verein/100052,False
10010,ok,Esporte Clube Bahia,/esporte-clube-bahia/startseite/verein/10010,False
100148,ok,Montpellier HSC Formation,/montpellier-hsc-formation/startseite/verein/100148,False
100156,ok,ESTAC Troyes Formation,/estac-troyes-formation/startseite/verein/100156,False
1002,ok,FC Flora Tallinn,/fc-flora-tallinn/startseite/verein/1002,False
100276,ok,FC Patani,/fc-patani/startseite/verein/100276,False
100279,ok,Triangle FC Alliance Academy (-2017),/triangle-fc-alliance-academy-2017/startseite/verein/100279,False
10029,ok,Preußen Münster U19,/preussen-muenster-u19/startseite/verein/10029,False
1003,ok,Leicester City,/leicester-city/startseite/verein/1003,False
100334,ok,Scrosoppi FC,/scrosoppi-fc/startseite/verein/100334,False
100335,ok,CD Mafra U23 (-2025),/cd-mafra-u23-2025/startseite/verein/100335,False
10036,ok,TSG Sprockhövel U19,/tsg-sprockhoevel-u19/startseite/verein/10036,False
1004,ok,FK Zeta Golubovci,/fk-zeta-golubovci/startseite/verein/1004,False
10044,ok,SV Horn,/sv-horn/startseite/verein/10044,False
1005,ok,US Lecce,/us-lecce/startseite/verein/1005,False
100532,ok,Tuloy FC,/tuloy-fc/startseite/verein/100532,False
1006,ok,Borussia Mönchengladbach II,/borussia-moenchengladbach-ii/startseite/verein/1006,False
100622,ok,Interoeste FC,/interoeste-fc/startseite/verein/100622,False
100692,ok,Singida Black Stars Sports Club ,/singida-black-stars-sports-club/startseite/verein/100692,False
1007,ok,FC U Craiova 1948,/fc-u-craiova-1948/startseite/verein/1007,False
10075,ok,FC Viktoria Köln U19,/fc-viktoria-koeln-u19/startseite/verein/10075,False
100752,ok,Adhyaksa FC Banten,/adhyaksa-fc-banten/startseite/verein/100752,False
1008,ok,HJK Helsinki,/hjk-helsinki/startseite/verein/1008,False
100827,ok,FC Syunik,/fc-syunik/startseite/verein/100827,False
10090,ok,Asociación Deportivo Pasto,/asociacion-deportivo-pasto/startseite/verein/10090,False
10091,ok,Dorados de Sinaloa,/dorados-de-sinaloa/startseite/verein/10091,False
10093,ok,Independiente Medellín,/independiente-medellin/startseite/verein/10093,False
100948,ok,Al-Murooj,/al-murooj/startseite/verein/100948,False
101,ok,Tennis Borussia Berlin,/tennis-borussia-berlin/startseite/verein/101,False
1010,ok,Watford FC,/watford-fc/startseite/verein/1010,False
101010,ok,Uiwang Jeongwoo SC,/uiwang-jeongwoo-sc/startseite/verein/101010,False
101043,ok,Vermont Green FC,/vermont-green-fc/startseite/verein/101043,False
10107,ok,UR La Louvière Centre,/ur-la-louviere-centre/startseite/verein/10107,False
1011,ok,Halmstads BK,/halmstads-bk/startseite/verein/1011,False
101128,ok,Federal Way FC (-2022),/federal-way-fc-2022/startseite/verein/101128,False
10117,ok,GE Juventus (SC),/ge-juventus-sc/startseite/verein/10117,False
101171,ok,ASD Millesimo Calcio,/asd-millesimo-calcio/startseite/verein/101171,False
10130,ok,FK Silute,/fk-silute/startseite/verein/10130,False
10131,ok,SV Grödig,/sv-groedig/startseite/verein/10131,False
101331,ok,FC Bihor 1902,/fc-bihor-1902/startseite/verein/101331,False
101333,ok,Muras United Manas,/muras-united-manas/startseite/verein/101333,False
10136,ok,Leones FC,/leones-fc/startseite/verein/10136,False
10138,ok,NK HASK Zagreb,/nk-hask-zagreb/startseite/verein/10138,False
101387,ok,Racing Madrid City FC,/racing-madrid-city-fc/startseite/verein/101387,False
10139,ok,NK Koprivnica,/nk-koprivnica/startseite/verein/10139,False
1014,ok,HSK Posusje,/hsk-posusje/startseite/verein/1014,False
10140,ok,SC Covilhã,/sc-covilha/startseite/verein/10140,False
101419,ok,CF Estrela Amadora U23,/cf-estrela-amadora-u23/startseite/verein/101419,False
10157,ok,FC Aktobe,/fc-aktobe/startseite/verein/10157,False
10161,ok,Leeds United U18,/leeds-united-u18/startseite/verein/10161,False
101653,ok,Etehad Al-Reef Club,/etehad-al-reef-club/startseite/verein/101653,False
1017,ok,Hapoel Tel Aviv,/hapoel-tel-aviv/startseite/verein/1017,False
101702,ok,AS Mansa,/as-mansa/startseite/verein/101702,False
10172,ok,FC Pinzgau Saalfelden,/fc-pinzgau-saalfelden/startseite/verein/10172,False
101750,ok,Namdhari Football Club ,/namdhari-football-club/startseite/verein/101750,False
102,ok,VfB Stuttgart II,/vfb-stuttgart-ii/startseite/verein/102,False
1020,ok,Portsmouth FC,/portsmouth-fc/startseite/verein/1020,False
10200,ok,Valencia CF U19,/valencia-cf-u19/startseite/verein/10200,False
102031,ok,One Knoxville SC,/one-knoxville-sc/startseite/verein/102031,False
10213,ok,SV Drochtersen/Assel,/sv-drochtersen-assel/startseite/verein/10213,False
102149,ok,CS Dinamo Bucuresti,/cs-dinamo-bucuresti/startseite/verein/102149,False
10217,ok,Sarpsborg 08 FF,/sarpsborg-08-ff/startseite/verein/10217,False
1022,ok,Cerezo Osaka,/cerezo-osaka/startseite/verein/1022,False
102290,ok,Superstars Football Academy,/superstars-football-academy/startseite/verein/102290,False
102291,ok,Al-Abbassieh FC,/al-abbassieh-fc/startseite/verein/102291,False
10233,ok,AMSD Atlético de Rafaela,/amsd-atletico-de-rafaela/startseite/verein/10233,False
102360,ok,Fath de Nador,/fath-de-nador/startseite/verein/102360,False
102378,ok,Academy Mokhtar Dahari U17,/academy-mokhtar-dahari-u17/startseite/verein/102378,False
102385,ok,Real Esppor,/real-esppor/startseite/verein/102385,False
102400,ok,Los Angeles FC 2,/los-angeles-fc-2/startseite/verein/102400,False
102454,ok,Blacktown City FC U20,/blacktown-city-fc-u20/startseite/verein/102454,False
102462,ok,FC Stăuceni,/fc-stauceni/startseite/verein/102462,False
10247,ok,Portuguesa,/portuguesa/startseite/verein/10247,False
102483,ok,Kanchanaburi City,/kanchanaburi-city/startseite/verein/102483,False
102557,ok,FC Djursholm U17,/fc-djursholm-u17/startseite/verein/102557,False
102582,ok,Jwaya SC,/jwaya-sc/startseite/verein/102582,False
10262,ok,Birkirkara FC,/birkirkara-fc/startseite/verein/10262,False
102624,ok,Guarda FC,/guarda-fc/startseite/verein/102624,False
1027,ok,Bradford City,/bradford-city/startseite/verein/1027,False
10270,ok,FC Eintracht Bamberg U19,/fc-eintracht-bamberg-u19/startseite/verein/10270,False
1028,ok,Millwall FC,/millwall-fc/startseite/verein/1028,False
10283,ok,Sporting CP U19,/sporting-cp-u19/startseite/verein/10283,False
10284,ok,SC Weiche Flensburg 08,/sc-weiche-flensburg-08/startseite/verein/10284,False
102847,ok,SC Kiryat Yam,/sc-kiryat-yam/startseite/verein/102847,False
