from_competition,to_competition,transfers,unique_players,avg_age,median_market_value
,,8582,3315,19.382081532531245,0.0
,GB4,238,159,19.894957983193276,50000.0
,CNAT,206,144,21.116504854368934,50000.0
,NLS6,187,128,22.844086021505376,0.0
,SE3N,179,157,21.0,0.0
NLS6,,177,132,23.806818181818183,0.0
GB4,,174,126,21.419540229885058,75000.0
NLN6,,172,122,22.609467455621303,0.0
,NLN6,170,124,21.39156626506024,0.0
CNAT,,165,114,21.975757575757576,0.0
,BJ3,161,160,15.4472049689441,0.0
,GB18,159,150,16.115384615384617,0.0
THA1,THA1,148,61,26.85135135135135,200000.0
,DKDL,140,140,16.6,0.0
,SE2,128,110,20.953125,50000.0
BJ3,AJ3,127,127,16.669291338582678,0.0
GB18,GB21,121,121,17.818181818181817,0.0
,USL,112,91,21.901785714285715,0.0
,GB3,110,78,20.20909090909091,150000.0
GB4,CNAT,105,80,23.847619047619048,75000.0
SE3N,,104,97,23.401960784313726,0.0
,BJ1,97,96,15.34020618556701,0.0
CYP2,CYP2,95,64,25.31578947368421,0.0
MLS1,USL,95,54,21.978947368421053,175000.0
,CYP2,93,81,24.35483870967742,0.0
,SE1,92,79,19.717391304347824,50000.0
CYP2,,92,87,25.793478260869566,0.0
SE1,SE2,92,67,21.684782608695652,150000.0
GB2,GB3,92,54,22.043478260869566,275000.0
,JAP3,89,87,22.303370786516854,0.0
GB4,GB4,88,49,25.65909090909091,137500.0
,GB21,85,75,18.31764705882353,0.0
CNAT,CNAT,85,53,25.188235294117646,0.0
GB3,GB2,83,52,22.03614457831325,250000.0
SE2,SE1,82,62,22.353658536585368,175000.0
SE2,,81,71,22.54320987654321,100000.0
BJ1,AJ1,80,80,16.675,0.0
USL,MLS1,79,45,21.72151898734177,150000.0
GB21,GB4,78,58,20.294871794871796,125000.0
,THA2,78,60,27.53846153846154,25000.0
,511,77,72,22.506493506493506,0.0
,MYS1,76,60,26.644736842105264,125000.0
GB3,,76,59,22.236842105263158,150000.0
GB4,SC1,76,65,25.68421052631579,250000.0
ZYP1,ZYP1,73,38,26.0,250000.0
USL,USL,71,40,26.225352112676056,200000.0
DKDL,DK1,70,70,18.4,50000.0
,DK2,70,69,21.685714285714287,137500.0
CNAT,GB4,68,58,23.852941176470587,50000.0
GB3,GB4,68,52,24.16176470588235,100000.0
GB21,,68,61,19.823529411764707,0.0
THA2,,68,56,29.38235294117647,100000.0
THA1,,68,65,27.91176470588235,200000.0
,PO2,67,55,21.01492537313433,0.0
GB21,GB3,67,52,20.46268656716418,100000.0
,THA1,67,61,24.34328358208955,100000.0
,MAL1,66,58,25.78787878787879,50000.0
BJ2,AJ2,66,66,16.575757575757574,0.0
GB4,GB3,66,54,24.28787878787879,125000.0
SC1,SC2,65,37,23.076923076923077,200000.0
,BJ2,65,65,15.430769230769231,0.0
GB18,,65,57,17.609375,0.0
RO1,RO1,65,25,24.06153846153846,300000.0
DK2,DK1,64,50,22.265625,250000.0
MYS1,,64,59,29.25,137500.0
,LUX1,63,58,22.253968253968253,0.0
KAS1,KAS1,63,41,28.047619047619047,350000.0
NL2,NL2,63,33,23.0,150000.0
SC1,GB4,62,53,26.129032258064516,275000.0
GB2,GB4,62,39,21.806451612903224,150000.0
,ZYP1,62,52,22.258064516129032,0.0
,SC1,61,58,21.770491803278688,187500.0
THA2,THA2,61,35,28.524590163934427,100000.0
DK1,DK2,60,42,21.15,200000.0
,ISR2,60,38,23.283333333333335,0.0
UZ1,UZ1,60,30,25.566666666666666,300000.0
,MLS1,60,57,20.716666666666665,0.0
,CDN1,60,52,23.95,75000.0
GB3,GB3,60,39,24.95,250000.0
NLS6,NLS6,59,42,24.796610169491526,0.0
,SC2,59,50,21.508474576271187,125000.0
ZYP1,,59,52,26.45762711864407,50000.0
,RLB3,58,57,20.79310344827586,50000.0
511,,58,54,24.54385964912281,0.0
GB3,CNAT,58,40,22.620689655172413,100000.0
,JAP2,57,52,20.75438596491228,25000.0
NL1,NL1,57,26,23.29824561403509,700000.0
BRA2,,57,39,23.56140350877193,87500.0
,K3L,57,53,24.17543859649123,0.0
THA2,THA1,57,40,26.94736842105263,100000.0
,GB2,56,51,19.375,75000.0
,NTD,56,53,21.98181818181818,0.0
WER1,WER1,56,22,23.25,250000.0
USL,,56,48,23.107142857142858,75000.0
NL1,NL2,56,40,22.5,225000.0
MYS1,MYS1,55,35,28.78181818181818,200000.0
CNAT,NLS6,55,35,24.10909090909091,0.0
,SER1,55,38,20.29090909090909,0.0
KAS1,,55,47,30.70909090909091,250000.0
