player_id,season,date,age,from_country,from_club,from_competition,from_coach,to_country,to_club,to_competition,to_coach,market_value,fee,contract_until,transfer_type,relative_url,from_name,to_name
282150,25/26,2026-01-01T00:00:00+01:00,28.0,0,515,,0,167,55227,THA1,50516,275000,,2027-06-30T00:00:00+02:00,STANDARD,/dominik-schad/transfers/spieler/282150/transfer_id/6069675,Unbekannt,Lamphun Warrior
282150,25/26,2025-07-01T00:00:00+02:00,28.0,40,91,L2,30051,0,515,,0,300000,,,STANDARD,/dominik-schad/transfers/spieler/282150/transfer_id/5675390,Pr. Münster,Unbekannt
686462,25/26,2026-01-16T00:00:00+01:00,24.0,40,103,L3,84981,87,311,RSK1,20834,175000,,,STANDARD,/jakob-tranziska/transfers/spieler/686462/transfer_id/6117367,Schweinfurt 05,Pohang Steelers
686462,24/25,2025-01-01T00:00:00+01:00,23.0,172,1321,TS1,632,40,103,RLB3,84981,200000,,2026-06-30T00:00:00+02:00,STANDARD,/jakob-tranziska/transfers/spieler/686462/transfer_id/5381599,Dynamo Budweis,Schweinfurt 05
686462,23/24,2024-01-30T00:00:00+01:00,22.0,127,503,A2,37049,172,1321,TS1,49335,175000,,2025-06-30T00:00:00+02:00,STANDARD,/jakob-tranziska/transfers/spieler/686462/transfer_id/4856531,Admira Wacker,Dynamo Budweis
686462,22/23,2022-08-25T00:00:00+02:00,21.0,40,851,RLSW,40349,127,503,A2,35740,50000,,,STANDARD,/jakob-tranziska/transfers/spieler/686462/transfer_id/4036729,FSV Mainz 05 II,Admira Wacker
505764,23/24,2024-01-26T00:00:00+01:00,24.0,87,6503,RSK2,72498,167,27092,THA1,50352,325000,,2029-06-30T00:00:00+02:00,STANDARD,/asnawi-mangkualam/transfers/spieler/505764/transfer_id/4847819,Jeonnam Dragons,Port FC
505764,20/21,2021-02-01T00:00:00+01:00,21.0,68,14104,,104590,87,57434,RSK2,75911,200000,,2023-12-31T00:00:00+01:00,STANDARD,/asnawi-mangkualam/transfers/spieler/505764/transfer_id/3227625,PSM Makassar,Ansan Greeners
553458,23/24,2024-01-20T00:00:00+01:00,26.0,26,2029,BRA2,5667,167,25449,THA1,63229,2000000,,2028-06-30T00:00:00+02:00,STANDARD,/bissoli/transfers/spieler/553458/transfer_id/4835618,Ceará SC,Buriram Utd.
553458,20/21,2021-01-01T00:00:00+01:00,22.0,132,18730,,0,26,679,BRA1,2699,600000,,2023-12-31T00:00:00+01:00,STANDARD,/bissoli/transfers/spieler/553458/transfer_id/3172070,Fernando,Athletico-PR
553458,20/21,2020-12-31T00:00:00+01:00,22.0,26,679,BRA1,2699,132,18730,,0,600000,,,RETURNED_FROM_PREVIOUS_LOAN,/bissoli/transfers/spieler/553458/transfer_id/2762580,Athletico-PR,Fernando
553458,19/20,2020-01-17T00:00:00+01:00,22.0,132,18730,,0,26,679,BRA1,4724,50000,,2020-12-31T00:00:00+01:00,ACTIVE_LOAN_TRANSFER,/bissoli/transfers/spieler/553458/transfer_id/2762579,Fernando,Athletico-PR
553458,19/20,2019-07-01T00:00:00+02:00,21.0,26,679,BRA1,58610,132,18730,,0,50000,,,STANDARD,/bissoli/transfers/spieler/553458/transfer_id/2634142,Athletico-PR,Fernando
92430,21/22,2021-12-09T00:00:00+01:00,31.0,27,14320,,13257,167,27070,THA1,45884,150000,,2023-05-31T00:00:00+02:00,STANDARD,/charlie-clough/transfers/spieler/92430/transfer_id/3638862,DPMM FC,Swat Cat
92430,18/19,2019-01-03T00:00:00+01:00,28.0,189,3052,CNAT,21756,153,14320,SIN1,13257,50000,,2021-12-31T00:00:00+01:00,STANDARD,/charlie-clough/transfers/spieler/92430/transfer_id/2357413,Sutton Utd.,DPMM FC
179471,24/25,2024-07-01T00:00:00+02:00,31.0,12,25580,AUS1,3647,167,25449,THA1,40002,500000,,2027-06-30T00:00:00+02:00,STANDARD,/curtis-good/transfers/spieler/179471/transfer_id/5000080,Melbourne City,Buriram Utd.
179471,18/19,2018-09-18T00:00:00+02:00,25.0,189,762,GB1,1522,12,25580,AUS1,3866,250000,,2024-06-30T00:00:00+02:00,STANDARD,/curtis-good/transfers/spieler/179471/transfer_id/2098296,Newcastle,Melbourne City
179471,13/14,2014-05-31T00:00:00+02:00,21.0,190,1519,SC1,18753,189,762,GB1,1988,500000,,2018-06-30T00:00:00+02:00,RETURNED_FROM_PREVIOUS_LOAN,/curtis-good/transfers/spieler/179471/transfer_id/1011263,Dundee United,Newcastle
179471,13/14,2014-01-31T00:00:00+01:00,20.0,189,762,GB1,1988,190,1519,SC1,18753,500000,,,ACTIVE_LOAN_TRANSFER,/curtis-good/transfers/spieler/179471/transfer_id/1011262,Newcastle,Dundee United
179471,12/13,2012-07-31T00:00:00+02:00,19.0,12,25580,AUS1,20143,189,762,GB1,1988,200000,515000.0,2018-06-30T00:00:00+02:00,STANDARD,/curtis-good/transfers/spieler/179471/transfer_id/760488,Melbourne City,Newcastle
