league,competition_code,country,league_group,level,category,is_youth,is_reserve,is_professional,notes
Kategoria Superiore,ALB1,Albania,Albania - Kategoria Superiore,,Senior,False,False,True,
Kategoria e Parë,ALB2,Albania,Albania - Kategoria e Parë,,Senior,False,False,True,
Primera Divisió,AND1,Andorra,Andorra - Primera Divisió,,Senior,False,False,True,
Copa LPF Proyección Apertura,CLPI,Argentina,Argentina - Copa LPF Proyección Apertura,,Senior,False,False,True,
Primera B Metropolitana,URL3,Argentina,Argentina - Primera B Metropolitana,,Senior,False,False,True,
Primera Nacional,ARG2,Argentina,Argentina - Primera Nacional,,Senior,False,False,True,
Torneo Clausura,ARGC,Argentina,Argentina - Torneo Clausura,,Senior,False,False,True,
Torneo Federal A,ARG3,Argentina,Argentina - Torneo Federal A,3.0,Senior,False,False,True,
Armenian First League,ARM2,Armenia,Armenia - Armenian First League,,Senior,False,False,True,
Premier League,ARM1,Armenia,,,,False,False,,
A-League Men,AUS1,Australia,Australia - A-League Men,1.0,Senior,False,False,True,
National Premier League - New South Wales,A2SW,Australia,Australia - National Premier League - New South Wales,1.0,Senior,False,False,True,
National Premier League - Victoria,A2VI,Australia,Australia - National Premier League - Victoria,1.0,Senior,False,False,True,
1. Landesliga Niederösterreich,A4N,Austria,Germany - Landesliga,7.0,Senior,False,False,True,
2. Liga,A2,Austria,Austria - 2. Liga,2.0,Senior,False,False,True,
Burgenlandliga,A4B,Austria,Austria - Burgenlandliga,,Senior,False,False,True,
Regionalliga Ost,ATRO,Austria,Germany - Regionalliga,4.0,Senior,False,False,True,
Wiener Stadtliga,A4W,Austria,Austria - Wiener Stadtliga,,Senior,False,False,True,
ÖFB Jugendliga U16,JGD3,Austria,,,,False,False,,
ÖFB Jugendliga U18,JGD2,Austria,,,,False,False,,
Premyer Liqa,AZ1,Azerbaijan,Azerbaijan - Premyer Liqa,1.0,Senior,False,False,True,
Bangladesh Football League,BGD1,Bangladesh,Bangladesh - Bangladesh Football League,,Senior,False,False,True,
Pershaya Liga,WER2,Belarus,Belarus - Pershaya Liga,2.0,Senior,False,False,True,
Vysheyshaya Liga,WER1,Belarus,Belarus - Vysheyshaya Liga,1.0,Senior,False,False,True,
1ste Nationale FFA,BE3A,Belgium,,,,False,False,,
1ste Nationale VV,BE3V,Belgium,,,,False,False,,
2de Nationale VV A,VFVA,Belgium,,,,False,False,,
2de Nationale VV B,VFVB,Belgium,,,,False,False,,
3de Nationale VV A,BE5A,Belgium,Belgium - 3de Nationale VV A,,Senior,False,False,True,
Challenger Pro League,BE2,Belgium,,,,False,False,,
Jupiler Pro League,BE1,Belgium,,,,False,False,,
Liga Premier de Belice Apertura,BZ1A,Belize,Belize - Liga Premier de Belice Apertura,,Senior,False,False,True,
Bhutan Premier League,BH1L,Bhutan,Bhutan - Bhutan Premier League,1.0,Senior,False,False,True,
División Profesional,BO1A,Bolivia,Bolivia - División Profesional,,Senior,False,False,True,
Premijer Liga BiH U19,BI19,Bosnien-Herzegowina,,,,False,False,,
Premijer Liga Bosne i Hercegovine,BOS1,Bosnien-Herzegowina,Bosnien-Herzegowina - Premijer Liga Bosne i Hercegovine,,Senior,False,False,True,
Prva Liga RS,BH2S,Bosnien-Herzegowina,Bosnien-Herzegowina - Prva Liga RS,,Senior,False,False,True,
Prva liga FBiH,BOS2,Bosnien-Herzegowina,Bosnien-Herzegowina - Prva liga FBiH,,Senior,False,False,True,
Campeonato Alagoano,BRAL,Brazil,Brazil - Campeonato Alagoano,,Senior,False,False,True,
Campeonato Brasileiro Série A,BRA1,Brazil,Brazil - Campeonato Brasileiro Série A,,Senior,False,False,True,
Campeonato Brasileiro Série B,BRA2,Brazil,Brazil - Campeonato Brasileiro Série B,,Senior,False,False,True,
Campeonato Capixaba,BRES,Brazil,Brazil - Campeonato Capixaba,,Senior,False,False,True,
Campeonato Paraibano,BRPB,Brazil,Brazil - Campeonato Paraibano,,Senior,False,False,True,
Vtora Liga,BU2,Bulgaria,Bulgaria - Vtora Liga,2.0,Senior,False,False,True,
efbet Liga,BU1,Bulgaria,Bulgaria - efbet Liga,1.0,Senior,False,False,True,
Cambodian Premier League,KHM1,Cambodia,Cambodia - Cambodian Premier League,1.0,Senior,False,False,True,
