league,league_group,level,category,country
1. Dorostenecka liga,1. Dorostenecka liga,,,
1. Landesliga Niederösterreich,Germany - Landesliga,7,Senior,Germany
1. Liga Classic Gruppe 1,1. Liga Classic Gruppe 1,,,
1. Liga Classic Gruppe 2,1. Liga Classic Gruppe 2,,,
1. Liga Classic Gruppe 3,1. Liga Classic Gruppe 3,,,
1. deild,1. deild,,,
1.Division,1.Division,,,
1.Lig,1.Lig,,,
1ste Nationale FFA,Belgium - Nationale 1,3,Senior,Belgium
1ste Nationale VV,Belgium - Nationale 1,3,Senior,Belgium
2. Bundesliga,Germany - 2. Bundesliga,2,Senior,Germany
2. CFL,2. CFL,,,
2. Division,2. Division,,,
2. Division A (Phase 1),2. Division A (Phase 1),,,
2. Division B,2. Division B,,,
2. Liga,2. Liga,,,
2. Liga interregional - Gruppe 3,2. Liga interregional - Gruppe 3,,,
2. Liga interregional - Gruppe 4,2. Liga interregional - Gruppe 4,,,
2. Liga interregional - Gruppe 5,2. Liga interregional - Gruppe 5,,,
2. deild,2. deild,,,
2.Division,2.Division,,,
2.Lig Beyaz,Turkey - 2. Lig,3,Senior,Turkey
2.Lig Kirmizi,Turkey - 2. Lig,3,Senior,Turkey
2de Nationale FFA,Belgium - Nationale 2,4,Senior,Belgium
2de Nationale VV A,Belgium - Nationale 2,4,Senior,Belgium
2de Nationale VV B,Belgium - Nationale 2,4,Senior,Belgium
3. Liga,Germany - 3. Liga,3,Senior,Germany
3.Division,3.Division,,,
3.Lig Grup 1,Turkey - 3. Lig,4,Senior,Turkey
3.Lig Grup 2,Turkey - 3. Lig,4,Senior,Turkey
3.Lig Grup 3,Turkey - 3. Lig,4,Senior,Turkey
3de Nationale VV A,3de Nationale VV A,,,
A-League Men,A-League Men,,,
Allsvenskan,Allsvenskan,,,
Armenian First League,Armenian First League,,,
Azadegan League,Azadegan League,,,
BGL Ligue,BGL Ligue,,,
Bangladesh Football League,Bangladesh Football League,,,
Bayernliga Nord,Germany - Bayernliga,5,Senior,Germany
Bayernliga Süd,Germany - Bayernliga,5,Senior,Germany
Besta deild,Besta deild,,,
Betclic 1 Liga,Betclic 1 Liga,,,
Betclic 2 Liga,Betclic 2 Liga,,,
Betclic 3 Liga - Gruppe I,Betclic 3 Liga - Gruppe I,,,
Betclic 3 Liga - Gruppe II,Betclic 3 Liga - Gruppe II,,Reserve,
Betclic 3 Liga - Gruppe III,Betclic 3 Liga - Gruppe III,,Reserve,
Betclic 3 Liga - Gruppe IV,Betclic 3 Liga - Gruppe IV,,,
Betway Premiership,Betway Premiership,,,
Bhutan Premier League,Bhutan Premier League,,,
Botola Pro Inwi,Botola Pro Inwi,,,
Brunei Super League,Brunei Super League,,,
Bundesliga,Germany - Bundesliga,1,Senior,Germany
Burgenlandliga,Burgenlandliga,,,
Cambodian Premier League,Cambodian Premier League,,,
Campeonato Alagoano,Campeonato Alagoano,,,
Campeonato Baiano,Campeonato Baiano,,,
Campeonato Brasileiro Série A,Campeonato Brasileiro Série A,,,
Campeonato Brasileiro Série B,Campeonato Brasileiro Série B,,,
Campeonato Capixaba,Campeonato Capixaba,,,
Campeonato Gaúcho - Abstiegsrunde,Campeonato Gaúcho - Abstiegsrunde,,,
Campeonato Goiano,Campeonato Goiano,,,
Campeonato Mineiro,Campeonato Mineiro,,,
Campeonato Paraibano,Campeonato Paraibano,,,
Campeonato de Portugal - Série A,Portugal - Campeonato de Portugal,4,Senior,Portugal
Campeonato de Portugal - Série B,Portugal - Campeonato de Portugal,4,Senior,Portugal
Campeonato de Portugal - Série C,Portugal - Campeonato de Portugal,4,Senior,Portugal
Campionato Under 18,Campionato Under 18,,,
Campionato nazionale Under 17 - A,Campionato nazionale Under 17 - A,,,
Campionato nazionale Under 17 - B,Campionato nazionale Under 17 - B,,,
Campionato nazionale Under 17 - C,Campionato nazionale Under 17 - C,,,
Canadian Premier League,Canadian Premier League,,,
Ceska fotbalova liga,Ceska fotbalova liga,,,
Challenge League,Challenge League,,,
Challenger Pro League,Belgium - Challenger Pro League,2,Senior,Belgium
Championnat National U19 - Groupe B,Championnat National U19 - Groupe B,,Youth,
Championship,England - Championship,2,Senior,England
Championship Indonesia,Championship Indonesia,,,
Chance Liga,Chance Liga,,,
Chance Narodni Liga,Chance Narodni Liga,,,
China League One,China League One,,,
China League Two B,China League Two B,,,
Chinese Super League,Chinese Super League,,,
Copa LPF Proyección Apertura,Copa LPF Proyección Apertura,,,
Cymru North,Cymru North,,,
Cymru Premier,Cymru Premier,,,
Cyprus League,Cyprus League,,,
Derde Divisie A,Derde Divisie A,,,
Derde Divisie B,Derde Divisie B,,,
Dhivehi Premier League,Dhivehi Premier League,,,
División Intermedia,División Intermedia,,,
División Profesional,División Profesional,,,
Druga Liga,Druga Liga,,,
Egyptian Premier League,Egyptian Premier League,,,
Ehrenpromotion,Ehrenpromotion,,,
Eliteserien,Eliteserien,,,
Eredivisie,Eredivisie,,,
Erovnuli Liga,Erovnuli Liga,,,
Erovnuli Liga 2,Erovnuli Liga 2,,,
Esiliiga,Esiliiga,,,
Ettan Norra,Ettan Norra,,,
Ettan Södra,Ettan Södra,,,
Fiji Premier League,Fiji Premier League,,,
Futbola Pirmā līga,Futbola Pirmā līga,,,
Ghana Premier League,Ghana Premier League,,,
Gibraltar Football League,Gibraltar Football League,,,
Hessenliga,Hessenliga,,,
Hokushin'etsu Football League (Div.1),Hokushin'etsu Football League (Div.1),,,
Hong Kong First Division,Hong Kong First Division,,,
Hong Kong Second Division,Hong Kong Second Division,,,
Hongkong Premier League,Hongkong Premier League,,,
Hongkong U22 League,Hongkong U22 League,,,
I Lyga,I Lyga,,,
I. Liga starsieho dorastu,I. Liga starsieho dorastu,,,
II. Liga,II. Liga,,Reserve,
Indian Super League,Indian Super League,,,
Iraq Stars League,Iraq Stars League,,,
J1 League,J1 League,,,
J2 League,J2 League,,,
J3 League,J3 League,,,
Japan Football League,Japan Football League,,,
Jogorku Liga,Jogorku Liga,,,
Jordanian Pro League,Jordanian Pro League,,,
Jupiler Pro League,Belgium - Jupiler Pro League,1,Senior,Belgium
K League 1,K League 1,,,
K League 2,K League 2,,,
K3 League,K3 League,,,
K4 League,K4 League,,,
Kakkonen - Gruppe B,Kakkonen - Gruppe B,,,
Kansai Soccer League (Div.1),Kansai Soccer League (Div.1),,,
Kanto Soccer League (Div.1),Kanto Soccer League (Div.1),,,
Kategoria Superiore,Kategoria Superiore,,,
Kategoria e Parë,Kategoria e Parë,,,
Keuken Kampioen Divisie,Keuken Kampioen Divisie,,,
Kolmonen Pohjoinen,Kolmonen Pohjoinen,,,
LaLiga,Spain - LaLiga,1,Senior,Spain
LaLiga2,Spain - LaLiga2,2,Senior,Spain
Landesliga Bayern Nordwest,Germany - Landesliga,7,Senior,Germany
Landesliga Bayern Südost,Germany - Landesliga,7,Senior,Germany
Landesliga Hannover,Germany - Landesliga,7,Senior,Germany
Landesliga Steiermark,Germany - Landesliga,7,Senior,Germany
Lao League 1,Lao League 1,,,
League 2,League 2,,,
League One,England - League One,3,Senior,England
League Two,England - League Two,4,Senior,England
League of Ireland First Division,League of Ireland First Division,,,
League of Ireland Premier Division,League of Ireland Premier Division,,,
Lengjudeild,Lengjudeild,,,
Libyan Premier League,Libyan Premier League,,,
Liga 1,Liga 1,,,
Liga 1 Clausura,Liga 1 Clausura,,,
Liga 2,Liga 2,,,
Liga 3,Liga 3,,,
Liga AUF Intermedio,Liga AUF Intermedio,,,
Liga DIMAYOR Apertura,Liga DIMAYOR Apertura,,,
Liga Dominicana de Fútbol,Liga Dominicana de Fútbol,,,
Liga FUTVE 2,Liga FUTVE 2,,,
Liga FUTVE Apertura,Liga FUTVE Apertura,,,
Liga Leumit,Liga Leumit,,,
Liga MX Apertura,Liga MX Apertura,,,
Liga MX U19 Apertura,Liga MX U19 Apertura,,Youth,
Liga MX U21 Apertura,Liga MX U21 Apertura,,Youth,
Liga Nacional Apertura,Liga Nacional Apertura,,,
Liga Nacional Clausura,Liga Nacional Clausura,,,
Liga Panameña de Fútbol Apertura,Liga Panameña de Fútbol Apertura,,,
Liga Portugal,Portugal - Liga Portugal,1,Senior,Portugal
