player_id,season,date,age,from_country,from_club,from_competition,from_coach,to_country,to_club,to_competition,to_coach,market_value,fee,contract_until,transfer_type,relative_url
282150,25/26,2026-01-01T00:00:00+01:00,28.0,0,515,,0,167,55227,THA1,50516,275000,,2027-06-30T00:00:00+02:00,STANDARD,/dominik-schad/transfers/spieler/282150/transfer_id/6069675
282150,25/26,2025-07-01T00:00:00+02:00,28.0,40,91,L2,30051,0,515,,0,300000,,,STANDARD,/dominik-schad/transfers/spieler/282150/transfer_id/5675390
282150,23/24,2023-07-05T00:00:00+02:00,26.0,40,2,L2,10278,40,91,L3,19543,225000,,2025-06-30T00:00:00+02:00,STANDARD,/dominik-schad/transfers/spieler/282150/transfer_id/4409920
282150,18/19,2018-07-01T00:00:00+02:00,21.0,40,65,L2,1370,40,2,L3,1266,300000,,2023-06-30T00:00:00+02:00,STANDARD,/dominik-schad/transfers/spieler/282150/transfer_id/2112100
282150,16/17,2016-07-01T00:00:00+02:00,19.0,40,2612,AJ3,7242,40,65,L2,1985,100000,,2018-06-30T00:00:00+02:00,STANDARD,/dominik-schad/transfers/spieler/282150/transfer_id/1478676
282150,14/15,2014-07-01T00:00:00+02:00,17.0,40,21077,BJ3,31636,40,2612,AJ3,7242,0,,2018-06-30T00:00:00+02:00,STANDARD,/dominik-schad/transfers/spieler/282150/transfer_id/1051039
282150,12/13,2012-07-01T00:00:00+02:00,15.0,40,20465,,7202,40,21077,BJ3,15487,0,,2014-06-30T00:00:00+02:00,STANDARD,/dominik-schad/transfers/spieler/282150/transfer_id/1079476
282150,11/12,2011-07-01T00:00:00+02:00,14.0,40,38880,,81107,40,20465,,7202,0,,2012-06-30T00:00:00+02:00,STANDARD,/dominik-schad/transfers/spieler/282150/transfer_id/1079477
686462,25/26,2026-01-16T00:00:00+01:00,24.0,40,103,L3,84981,87,311,RSK1,20834,175000,,,STANDARD,/jakob-tranziska/transfers/spieler/686462/transfer_id/6117367
686462,24/25,2025-01-01T00:00:00+01:00,23.0,172,1321,TS1,632,40,103,RLB3,84981,200000,,2026-06-30T00:00:00+02:00,STANDARD,/jakob-tranziska/transfers/spieler/686462/transfer_id/5381599
686462,23/24,2024-01-30T00:00:00+01:00,22.0,127,503,A2,37049,172,1321,TS1,49335,175000,,2025-06-30T00:00:00+02:00,STANDARD,/jakob-tranziska/transfers/spieler/686462/transfer_id/4856531
686462,22/23,2022-08-25T00:00:00+02:00,21.0,40,851,RLSW,40349,127,503,A2,35740,50000,,,STANDARD,/jakob-tranziska/transfers/spieler/686462/transfer_id/4036729
